Continent	Country	IQ	Disease	Nutrition	Temperature	GDP	DistEEA	Longitude	Latitude
Africa	Algeria	83	1974.29	439.38	13.14	7100	4397.88	2.630	28.159
Africa	Angola	68	19078.39	2142.56	18.79	8400	1154.33	17.541	-12.312
Africa	Benin	70	10870.93	1143.10	25.21	1500	2991.75	2.338	9.628
Africa	Botswana	70	32483.12	532.08	3.90	12800	1915.18	23.806	-22.185
Africa	Burkina_Faso	68	15706.29	1405.28	25.61	1200	3526.84	-1.765	12.265
Africa	Burundi	69	18706.93	1439.56	18.92	300	578.49	29.942	-3.336
Africa	Cameroon	64	16696.47	821.09	23.07	2300	1805.84	12.759	5.693
Africa	Central_African_Republic	64	20453.29	922.71	23.66	700	1380.58	20.491	6.571
Africa	Chad	68	18199.74	1104.79	21.97	1900	2366.71	18.672	15.341
Africa	Comoros	77	5218.65	868.15	20.50	1000	2206.53	43.801	-11.965
Africa	Côte_d'Ivoire	69	21244.21	900.05	24.81	1700	3669.27	-5.557	7.628
Africa	Democratic_Republic_of_the_Congo	64	18840.98	1151.02	23.01	300	279.35	23.657	-2.875
Africa	Djibouti	68	10816.33	705.65	23.32	2700	2688.32	42.551	11.726
Africa	Egypt	81	1208.84	378.90	13.89	6000	3542.55	29.868	26.508
Africa	Equatorial_Guinea	59	17396.06	972.55	21.93	37500	1788.14	10.366	1.699
Africa	Eritrea	68	7081.69	730.49	22.98	700	2728.59	38.856	15.342
Africa	Ethiopia	64	14752.42	1487.59	21.21	900	2219.29	39.632	8.618
Africa	Gabon	64	12506.99	440.29	22.91	14000	1545.46	11.796	-0.604
Africa	Ghana	71	11517.62	554.42	25.24	1500	3245.01	-1.224	7.937
Africa	Guinea	67	11303.92	943.06	23.92	1000	4331.22	-10.924	10.412
Africa	Guinea-Bissau	67	15144.15	1411.63	24.70	1100	4802.78	-14.914	12.051
Africa	Kenya	72	20742.34	648.00	22.81	1600	1553.54	37.853	0.511
Africa	Lesotho	67	32692.74	791.27	5.83	1600	2754.93	28.225	-29.587
Africa	Liberia	67	18575.71	1592.94	24.54	400	4014.22	-9.304	6.428
Africa	Libya	83	974.18	329.67	13.02	13400	3640.01	18.021	27.032
Africa	Madagascar	82	7071.54	1010.55	19.70	1000	2843.71	46.712	-19.372
Africa	Malawi	69	28720.38	1490.11	18.64	800	1367.06	34.288	-13.197
Africa	Mali	69	16123.99	1824.26	22.10	1200	3998.16	-3.525	17.348
Africa	Mauritania	76	8766.12	841.17	20.75	2000	4772.86	-10.332	20.257
Africa	Morocco	84	1336.15	553.12	9.75	4700	5274.83	-6.326	31.900
Africa	Mozambique	64	20148.13	1075.78	20.49	900	1782.92	35.529	-17.282
Africa	Namibia	70	19094.46	664.94	14.78	6600	2082.17	17.236	-22.152
Africa	Niger	69	19113.87	1612.52	20.36	700	3024.05	9.412	17.421
Africa	Nigeria	69	17976.10	835.71	24.21	2300	2478.12	8.107	9.605
Africa	Republic_of_the_Congo	65	15033.42	716.28	23.32	3900	1181.33	15.213	-0.831
Africa	Rwanda	70	19857.85	1615.08	18.60	1000	639.10	29.918	-2.009
Africa	Senegal	66	9251.88	768.96	24.68	1600	4854.92	-14.461	14.368
Africa	Sierra_Leone	64	21162.37	2296.15	24.84	900	4348.60	-11.791	8.548
Africa	Solomon_Islands	84	2733.19	581.55	24.75	2500	14760.47	159.692	-8.891
Africa	Somalia	68	14369.42	1057.82	24.25	600	2619.56	45.840	6.048
Africa	South_Africa	72	22646.43	875.85	11.26	10300	2668.49	25.073	-28.998
Africa	Sudan	71	9923.59	741.00	22.52	2300	2167.53	30.058	13.836
Africa	Swaziland	68	33428.76	1051.19	15.66	4400	2494.89	31.505	-26.560
Africa	Tanzania	72	20028.42	1215.46	20.66	1400	1096.22	34.822	-6.286
Africa	The_Gambia	66	8692.63	746.76	24.71	1400	4914.07	-15.460	13.430
Africa	Togo	70	14131.60	658.83	24.94	900	3062.99	0.958	8.566
Africa	Tunisia	83	1425.32	292.50	10.48	8200	4641.30	9.561	34.110
Africa	Uganda	73	22335.54	944.69	21.53	1200	1079.04	32.391	1.297
Africa	Zambia	71	34593.00	1106.03	17.47	1600	989.47	27.789	-13.463
Asia	Armenia	94	1003.55	171.94	-4.49	5500	5433.52	44.939	40.301
Asia	Azerbaijan	87	1993.68	509.98	1.51	10400	5535.39	47.540	40.269
Asia	Bahrain	83	546.60	247.13	17.90	38800	4415.61	50.574	26.020
Asia	Bangladesh	82	4959.85	716.59	19.84	1500	7757.80	90.263	23.895
Asia	Bhutan	80	4542.08	861.62	17.50	4700	7882.89	90.443	27.425
Asia	Brunei	91	655.77	146.07	26.52	51200	10018.49	114.702	4.534
Asia	Cambodia	91	8687.43	1238.76	24.85	1900	9045.27	104.946	12.718
Asia	China	105	985.88	252.96	-7.02	6600	9350.61	103.841	36.567
Asia	Cook_Islands	89	1613.48	272.12	21.80	9100	17127.24	-158.998	-20.673
Asia	Federated_States_of_Micronesia	84	1801.25	341.85	26.10	2200	14946.08	159.192	6.568
Asia	Fiji	85	1766.66	1212.72	22.35	3900	15803.90	174.124	-17.474
Asia	Georgia	94	1099.73	341.79	-1.57	4400	5570.18	43.535	42.170
Asia	India	86	4753.22	798.66	17.66	3100	6689.39	79.606	22.901
Asia	Indonesia	87	3099.10	534.30	24.44	4000	10240.12	117.299	-2.262
Asia	Iran	84	945.47	412.24	6.26	12500	5197.54	54.305	32.559
Asia	Iraq	87	3589.48	1247.97	9.90	3800	4672.31	43.765	33.066
Asia	Israel	95	206.55	91.07	12.84	28400	4183.25	34.958	31.402
Asia	Japan	105	164.38	121.96	-0.17	32700	12371.04	138.082	37.630
Asia	Jordan	84	659.38	414.30	9.17	5200	4217.21	36.754	31.229
Asia	Kazakhstan	94	1773.43	447.08	-11.24	11800	7198.73	67.283	48.156
Asia	Kuwait	86	347.74	147.28	13.32	52800	4514.29	47.571	29.329
Asia	Kyrgyzstan	90	1919.37	395.93	-13.14	2200	7203.28	74.597	41.473
Asia	Laos	89	5878.70	1335.93	19.01	2100	9007.13	103.767	18.494
Asia	Lebanon	82	845.15	232.97	7.40	13200	4474.79	35.876	33.907
Asia	Malaysia	92	1754.50	348.67	24.93	14900	9461.21	109.723	3.800
Asia	Mauritius	89	1027.27	247.19	19.40	13000	3931.62	57.819	-20.265
Asia	Mongolia	101	1955.47	250.38	-18.35	3100	9513.05	103.051	46.831
Asia	Myanmar	87	6649.77	939.78	18.70	1100	8312.78	96.520	21.197
Asia	Nepal	78	5467.80	1219.41	7.28	1200	7305.85	83.942	28.252
Asia	North_Korea	106	2859.10	653.64	-9.21	1900	11402.46	127.206	40.140
Asia	Oman	83	556.23	284.78	20.51	25000	4432.51	56.109	20.621
Asia	Pakistan	84	4503.59	575.07	9.82	2500	6117.79	69.384	29.957
Asia	Papua_New_Guinea	83	6463.42	1380.44	22.83	2300	13254.52	145.184	-6.465
Asia	Philippines	86	2904.62	523.09	24.30	3300	10973.38	122.849	11.832
Asia	Qatar	78	605.09	180.21	18.24	119500	4399.42	51.183	25.310
Asia	Russia	97	1228.54	537.08	-24.70	15100	9562.15	96.743	61.948
Asia	Samoa	88	2072.92	357.89	23.50	5400	17192.59	-172.279	-13.713
Asia	Saudi_Arabia	84	825.48	234.02	15.84	20600	3862.39	44.581	24.024
Asia	Seychelles	86	1295.18	284.13	24.40	20800	3069.10	52.712	-6.131
Asia	Singapore	108	488.58	133.34	26.40	52200	8779.08	103.784	1.372
Asia	South_Korea	106	401.67	141.20	-1.29	28100	11487.36	127.862	36.412
Asia	Sri_Lanka	79	1143.63	372.36	24.92	4500	6338.37	80.715	7.637
Asia	Syria	83	769.13	505.19	7.55	4600	4668.41	38.498	35.016
Asia	Tajikistan	87	3981.91	540.31	-9.77	1900	6771.82	71.062	38.544
Asia	Thailand	91	4471.42	265.20	23.34	8200	8663.04	101.027	15.123
Asia	Turkey	90	821.97	474.91	0.88	11400	5010.85	35.186	39.068
Asia	Turkmenistan	87	2761.55	415.64	2.42	6700	6043.43	59.361	39.138
Asia	United_Arab_Emirates	84	554.56	288.02	19.67	38900	4524.57	54.353	23.939
Asia	Uzbekistan	87	2131.58	448.21	-1.56	2800	6476.53	63.192	41.730
Asia	Vanuatu	84	2692.56	575.30	22.06	5300	15279.06	167.634	-16.164
Asia	Vietnam	94	2365.26	536.21	19.46	2900	9244.92	106.292	16.699
Asia	Yemen	85	3488.33	1069.67	18.52	2500	3401.07	47.643	15.814
Australasia	Australia	98	155.27	36.39	14.72	40000	11693.66	134.493	-25.744
Australasia	New_Zealand	99	144.22	28.92	5.46	27400	13827.31	171.916	-41.788
Central_America	Antigua_and_Barbuda	70	953.56	196.59	24.85	17800	9833.34	-61.788	17.316
Central_America	Barbados	80	1371.81	122.77	24.20	17700	9544.84	-59.531	13.184
Central_America	Belize	84	1615.56	404.98	22.60	8300	12687.09	-88.699	17.169
Central_America	Costa_Rica	89	511.05	131.06	22.73	10900	12201.29	-84.188	9.970
Central_America	Cuba	85	454.12	201.51	22.35	9700	11654.51	-78.967	21.587
Central_America	Dominica	67	950.01	149.43	22.80	10200	9766.43	-61.356	15.430
Central_America	Dominican_Republic	82	2897.34	347.07	22.09	8300	10764.20	-70.493	18.933
Central_America	El_Salvador	80	2044.62	457.71	23.24	7200	12711.49	-88.837	13.733
Central_America	Guatemala	79	2383.29	712.70	21.05	5100	12870.04	-90.359	15.684
Central_America	Haiti	67	10121.21	1808.30	22.18	1300	10995.20	-72.691	18.947
Central_America	Honduras	81	2503.42	646.62	21.72	4100	12472.03	-86.628	14.824
Central_America	Jamaica	71	2009.08	235.95	22.59	8400	11479.68	-77.313	18.155
Central_America	Mexico	90	787.46	240.87	15.31	13200	14026.68	-102.516	23.943
Central_America	Nicaragua	81	1498.59	476.38	23.87	2800	12300.08	-85.035	12.837
Central_America	Panama	84	1445.01	316.40	24.40	12100	11750.23	-80.134	8.528
Central_America	Saint_Vincent_and_the_Grenadines	71	2113.27	356.88	23.20	10200	9724.08	-61.190	13.237
Central_America	The_Bahamas	84	3329.15	138.35	22.11	29700	11392.89	-76.426	24.129
Central_America	Trinidad_and_Tobago	85	2048.20	208.02	24.83	21300	9702.29	-61.270	10.464
Europe	Afghanistan	84	12010.86	1515.57	-0.22	1000	6099.23	66.024	33.841
Europe	Albania	90	488.65	620.97	3.60	6400	5155.07	20.081	41.141
Europe	Andorra	98	274.39	76.91	-2.40	44900	5790.11	1.578	42.533
Europe	Austria	100	188.31	78.77	-3.20	39200	5943.62	14.151	47.591
Europe	Belarus	97	664.02	354.60	-5.34	12500	6515.06	28.051	53.535
Europe	Belgium	99	173.03	76.16	2.34	36800	6485.28	4.669	50.633
Europe	Bosnia_and_Herzegovina	90	286.73	358.41	14.64	6400	5514.50	17.789	44.167
Europe	Bulgaria	93	300.30	352.63	0.43	12500	5310.37	25.249	42.757
Europe	Cape_Verde	76	3558.65	520.18	19.38	3600	5868.58	-23.931	16.039
Europe	Croatia	90	167.40	102.71	1.62	17500	5633.15	16.413	45.073
Europe	Cyprus	91	385.54	88.89	10.57	21000	4541.20	33.277	35.090
Europe	Czech_Republic	98	131.48	104.19	-1.85	24900	6156.59	15.377	49.734
Europe	Denmark	98	162.10	70.94	0.37	36000	6919.03	10.010	55.989
Europe	Estonia	99	537.88	178.28	-5.45	18500	7082.46	25.585	58.692
Europe	Finland	99	124.36	71.95	-10.33	34100	7731.33	26.268	64.523
Europe	France	98	224.51	64.15	3.35	32600	6145.07	2.542	46.556
Europe	Germany	99	173.31	70.47	0.14	34100	6391.60	10.401	51.098
Europe	Greece	92	153.65	74.16	5.75	31000	4905.96	22.867	39.076
Europe	Hungary	98	234.23	191.62	-0.11	18800	5826.80	19.426	47.170
Europe	Iceland	101	156.63	65.13	-3.22	39600	8553.61	-18.565	64.986
Europe	Ireland	92	154.21	80.40	4.87	41000	7174.64	-8.144	53.178
Europe	Italy	102	193.46	93.81	4.42	29900	5469.60	12.100	42.777
Europe	Latvia	98	484.91	185.92	-4.89	14400	6875.93	24.933	56.837
Europe	Lithuania	91	394.24	403.27	-4.28	15500	6708.79	23.890	55.327
Europe	Luxembourg	100	194.83	84.20	1.38	79600	6355.57	6.120	49.763
Europe	Malta	97	203.19	79.23	12.40	24300	4676.29	14.455	35.875
Europe	Moldova	96	803.91	514.09	-2.10	2300	5812.95	28.494	47.186
Europe	Netherlands	100	174.44	78.51	2.46	39500	6625.59	5.635	52.265
Europe	Norway	100	138.12	59.58	-7.36	57400	7766.91	14.041	64.369
Europe	Poland	99	220.21	182.96	-2.98	17900	6373.77	19.409	52.122
Europe	Portugal	95	465.84	78.35	9.16	21700	6018.33	-8.307	39.592
Europe	Republic_of_Macedonia	91	304.20	140.93	0.44	9100	5192.36	21.724	41.600
Europe	Romania	94	520.16	256.40	-1.60	11500	5654.86	24.967	45.855
Europe	Slovakia	96	177.55	198.34	-2.45	21100	5996.59	19.492	48.713
Europe	Spain	98	276.88	81.33	6.06	33600	5820.38	-3.621	40.267
Europe	Sweden	99	151.96	63.59	-7.99	36600	7570.07	16.741	62.787
Europe	Switzerland	101	181.55	56.70	-2.39	41400	5992.56	8.225	46.806
Europe	Ukraine	97	1545.08	526.50	-3.62	6300	6039.92	31.398	49.031
Europe	United_Kingdom	100	187.20	47.90	2.94	34800	7062.37	-2.878	54.082
North_America	Canada	99	183.10	62.08	-23.33	38200	12214.43	-98.348	61.290
North_America	United_States_of_America	98	330.23	44.89	-5.38	46000	13912.35	-112.463	45.674
South_America	Argentina	93	836.38	175.63	8.00	13400	9702.72	-65.188	-35.401
South_America	Bolivia	87	3401.17	796.83	0.25	4700	9812.51	-64.667	-16.713
South_America	Brazil	87	1575.02	363.48	22.95	10100	8606.73	-53.100	-10.784
South_America	Chile	90	491.35	122.76	4.80	14600	10224.69	-71.293	-37.287
South_America	Colombia	84	1167.21	228.23	23.79	9200	10937.90	-73.073	3.903
South_America	Ecuador	88	1764.69	355.49	20.16	7500	11510.93	-78.706	-1.432
South_America	Guyana	87	4231.33	588.69	25.31	6500	9390.28	-58.986	4.790
South_America	Paraguay	84	1468.57	691.77	18.91	4600	9114.62	-58.394	-23.231
South_America	Peru	85	2052.19	513.03	17.88	8500	10943.62	-74.380	-9.173
South_America	Suriname	89	2388.03	283.57	25.56	9500	9044.15	-55.915	4.118
South_America	Uruguay	96	1006.51	147.61	12.07	12600	8868.06	-56.021	-32.793
South_America	Venezuela	84	917.00	252.18	24.87	13000	10207.67	-66.194	7.120
