"testScore","bodyLength","mountainRange"
16.14730946,165.5485196,"Bavarian"
33.88618347,167.5593135,"Bavarian"
6.038332941,165.8829517,"Bavarian"
18.83882129,167.6855249,"Bavarian"
33.8623279,169.9596807,"Bavarian"
47.04324591,168.6887472,"Bavarian"
2.557890462,169.6193817,"Bavarian"
3.875730463,164.4162728,"Bavarian"
3.597529521,167.5104297,"Bavarian"
7.358564754,179.606068,"Bavarian"
40.40038616,174.4654852,"Bavarian"
37.79467814,164.7812478,"Bavarian"
22.96415236,172.5594668,"Bavarian"
3.282949428,179.0007743,"Bavarian"
18.44280114,175.9704091,"Bavarian"
16.28513065,170.8193187,"Bavarian"
20.10853686,170.0534398,"Bavarian"
20.24258963,171.0932718,"Bavarian"
26.61791119,166.9571182,"Bavarian"
18.46775404,169.7708317,"Bavarian"
46.43277822,177.1744436,"Bavarian"
20.48980395,170.6868505,"Bavarian"
18.45276701,176.7402672,"Bavarian"
20.48422948,182.921515,"Bavarian"
25.2012758,182.3539525,"Bavarian"
12.45363499,183.0819313,"Bavarian"
29.79512725,182.1753313,"Bavarian"
0,175.5122137,"Bavarian"
27.10772116,173.5323951,"Bavarian"
4.582095447,174.2216996,"Bavarian"
16.17675802,174.8399351,"Bavarian"
24.14801734,180.0634457,"Bavarian"
0.74291384,190.6409588,"Bavarian"
2.501824711,169.7087779,"Bavarian"
22.56301439,179.5743569,"Bavarian"
3.380430108,188.8472039,"Bavarian"
37.34032341,173.2164322,"Bavarian"
44.75108351,179.4239913,"Bavarian"
16.24916411,182.8767077,"Bavarian"
16.85241954,177.82055,"Bavarian"
10.82536052,191.9322152,"Bavarian"
20.46262142,185.6634414,"Bavarian"
36.4831356,188.224188,"Bavarian"
23.88316223,191.0762972,"Bavarian"
40.94881782,193.0720144,"Bavarian"
31.02904817,195.98165,"Bavarian"
23.63866671,185.5081277,"Bavarian"
24.38679641,191.7647472,"Bavarian"
23.94455038,184.0877927,"Bavarian"
30.11963933,193.0299285,"Bavarian"
14.01377579,193.2441459,"Bavarian"
28.38920414,187.5596646,"Bavarian"
59.63475581,192.8173674,"Bavarian"
19.09588064,192.8957911,"Bavarian"
38.23737418,189.0644148,"Bavarian"
27.0081432,190.6611123,"Bavarian"
52.36024757,197.7971633,"Bavarian"
21.3553336,186.3583927,"Bavarian"
31.53537946,196.1694599,"Bavarian"
41.73581083,188.3476105,"Bavarian"
28.79678487,200.4518306,"Ligurian"
34.16276531,202.6518694,"Ligurian"
82.1273426,204.0826204,"Ligurian"
58.69441216,205.1904028,"Ligurian"
23.37056553,201.4306689,"Ligurian"
51.06183641,199.2138714,"Ligurian"
43.36213882,203.2291598,"Ligurian"
28.07832382,197.3707903,"Ligurian"
45.27196908,197.7966825,"Ligurian"
45.9168229,199.6620064,"Ligurian"
29.83577228,208.7708277,"Ligurian"
52.41878783,199.6470087,"Ligurian"
53.44515439,198.6395736,"Ligurian"
36.35458046,193.3904581,"Ligurian"
47.75813798,196.7885373,"Ligurian"
44.11577147,195.7997268,"Ligurian"
55.65078074,205.007335,"Ligurian"
24.42787715,204.5745191,"Ligurian"
29.76244997,197.821003,"Ligurian"
35.48042348,202.9267917,"Ligurian"
50.98612865,209.769199,"Ligurian"
37.30849023,212.3001688,"Ligurian"
45.92866433,206.8002264,"Ligurian"
14.56563392,206.0291334,"Ligurian"
54.70112294,216.4534082,"Ligurian"
15.04281131,214.375613,"Ligurian"
34.43359879,206.7412391,"Ligurian"
31.56778978,201.7569338,"Ligurian"
51.78122573,212.9415295,"Ligurian"
38.94565084,209.9258209,"Ligurian"
53.86706139,210.8249888,"Ligurian"
29.41256803,213.8767095,"Ligurian"
47.26828344,218.6140446,"Ligurian"
47.65628541,210.8980754,"Ligurian"
32.99205539,208.8068918,"Ligurian"
34.00821752,213.5269776,"Ligurian"
49.62605987,214.3452445,"Ligurian"
51.49125024,212.429093,"Ligurian"
41.40474031,214.0022867,"Ligurian"
44.26974933,209.3735113,"Ligurian"
61.22757265,217.0455452,"Ligurian"
44.3479966,216.9197318,"Ligurian"
30.41185142,215.0328021,"Ligurian"
58.37905013,218.4580886,"Ligurian"
58.13052774,221.1151929,"Ligurian"
59.43246942,207.1896096,"Ligurian"
15.60638705,225.4513367,"Ligurian"
45.61626409,227.24234,"Ligurian"
43.84316785,216.0924307,"Ligurian"
42.38427159,227.2506149,"Ligurian"
63.31509907,217.0385986,"Ligurian"
38.11835159,220.5751091,"Ligurian"
46.5463282,213.1708851,"Ligurian"
26.45342778,229.8520674,"Ligurian"
6.411028986,224.7217526,"Ligurian"
30.1055147,229.9113525,"Ligurian"
21.44073391,219.4764395,"Ligurian"
46.8188293,221.150666,"Ligurian"
34.92085157,211.9773527,"Ligurian"
44.04159098,223.3711855,"Ligurian"
27.81871548,200.5537862,"Emmental"
57.5179885,200.9446128,"Emmental"
38.98888726,208.5197375,"Emmental"
44.49281205,194.0454965,"Emmental"
42.81146981,202.8488506,"Emmental"
48.85751255,202.0203024,"Emmental"
37.53020955,199.3371222,"Emmental"
45.36153445,205.1835979,"Emmental"
25.89813313,205.9698587,"Emmental"
51.53568826,203.5147168,"Emmental"
28.8186207,204.7389919,"Emmental"
28.88073094,195.5731781,"Emmental"
24.28346646,199.0944746,"Emmental"
20.01765887,196.3430907,"Emmental"
47.47907338,201.3040275,"Emmental"
24.50591051,205.9356944,"Emmental"
56.29830742,195.3113561,"Emmental"
28.98689167,192.4014869,"Emmental"
0,189.6056855,"Emmental"
22.92798874,208.5542802,"Emmental"
60.92696977,209.8167773,"Emmental"
61.85889511,209.2845643,"Emmental"
20.63619251,209.815756,"Emmental"
47.15537479,209.0275725,"Emmental"
73.25498324,210.6181288,"Emmental"
59.96543634,216.5011188,"Emmental"
24.78574524,216.2859087,"Emmental"
84.27278541,216.5827531,"Emmental"
34.72026871,217.7575204,"Emmental"
43.89444763,211.8756156,"Emmental"
15.39948436,211.1851959,"Emmental"
30.77952113,200.3431534,"Emmental"
31.31750403,215.9294813,"Emmental"
24.65123483,206.6773416,"Emmental"
37.80756058,212.0453334,"Emmental"
41.12558906,216.4527049,"Emmental"
52.04463043,211.4987178,"Emmental"
41.48460121,221.358007,"Emmental"
40.45317291,211.7023111,"Emmental"
43.15846982,213.1243748,"Emmental"
45.15527265,216.7445608,"Emmental"
37.25374477,215.076173,"Emmental"
45.63185473,220.7127613,"Emmental"
52.778979,220.9798451,"Emmental"
44.9486003,221.9942923,"Emmental"
42.20135613,218.9648973,"Emmental"
29.0745318,223.3676851,"Emmental"
25.97243864,219.1208868,"Emmental"
26.33689136,217.1293049,"Emmental"
20.12282146,217.9883381,"Emmental"
42.86974835,225.1104251,"Emmental"
57.30076621,218.4277133,"Emmental"
44.96591493,223.2930573,"Emmental"
57.88940809,221.7403879,"Emmental"
46.85780756,227.813772,"Emmental"
14.91691748,220.7496859,"Emmental"
34.67435855,213.8928711,"Emmental"
16.82949118,222.5052114,"Emmental"
61.88995208,217.3126191,"Emmental"
62.53952302,224.4747732,"Emmental"
59.60133011,216.3377005,"Central"
90.03115595,209.131404,"Central"
40.24362301,209.9054477,"Central"
53.75219008,207.4095317,"Central"
32.38160546,203.0326104,"Central"
46.71517463,217.1245855,"Central"
67.1218438,201.3487591,"Central"
66.76638805,201.7597024,"Central"
69.08986641,216.1824114,"Central"
61.67785234,204.9445967,"Central"
40.08001982,216.4814757,"Central"
38.31882489,212.5573173,"Central"
32.45626564,214.1797766,"Central"
39.22602934,215.6827243,"Central"
42.15079661,198.2832266,"Central"
51.0146848,207.8103437,"Central"
37.37891007,215.3628676,"Central"
35.28094914,206.6435205,"Central"
64.27195992,210.0694165,"Central"
42.82368986,213.1133748,"Central"
50.68080427,212.0792079,"Central"
52.57190749,215.5315906,"Central"
81.47113669,220.1562685,"Central"
59.45665689,206.2180513,"Central"
67.38271958,212.2298946,"Central"
41.23996201,208.0642112,"Central"
51.13664991,207.3500373,"Central"
52.2411922,213.011877,"Central"
59.11196428,213.559816,"Central"
76.93015712,215.2943604,"Central"
51.7683057,210.9402553,"Central"
59.54057033,215.9652086,"Central"
75.75768329,204.9527426,"Central"
73.11907013,213.5820623,"Central"
71.08028424,214.7521981,"Central"
49.47583784,209.5279787,"Central"
50.18156111,205.9587665,"Central"
81.13824768,201.3215734,"Central"
59.18682857,214.4584547,"Central"
57.96817805,203.7714782,"Central"
72.74577412,210.9189945,"Central"
57.66393865,208.2950642,"Central"
55.71104335,208.4432241,"Central"
77.67603971,210.7099817,"Central"
71.83937612,215.3302228,"Central"
76.8643398,203.3975435,"Central"
65.76527992,213.7782631,"Central"
100,200.1821687,"Central"
76.69906864,208.7098561,"Central"
57.01822619,211.3342879,"Central"
78.78208805,212.9441394,"Central"
58.58788818,196.7165149,"Central"
75.36150655,203.9223975,"Central"
66.40082377,196.2828091,"Central"
58.44581677,206.2261176,"Central"
54.90716517,207.7157235,"Central"
74.78570556,204.5781914,"Central"
62.99667338,199.6817128,"Central"
39.93740322,206.8766707,"Central"
89.91547163,214.4067381,"Central"
69.92402188,205.3738454,"Maritime"
67.63781303,206.759194,"Maritime"
95.10608963,204.6719573,"Maritime"
60.20771807,194.4018364,"Maritime"
54.39126946,191.9884128,"Maritime"
67.47377634,193.7814212,"Maritime"
33.32083507,198.1494526,"Maritime"
72.27220588,203.8420388,"Maritime"
65.42824238,200.1460101,"Maritime"
74.71761405,201.9407357,"Maritime"
78.2390102,195.1705195,"Maritime"
55.60685701,205.593968,"Maritime"
66.46337977,198.5213738,"Maritime"
87.201463,209.0728968,"Maritime"
74.82413632,191.5980825,"Maritime"
82.25177795,199.0071224,"Maritime"
61.76398934,200.615296,"Maritime"
83.96924249,194.1533128,"Maritime"
45.77508249,202.7619162,"Maritime"
47.00836676,201.9771132,"Maritime"
78.6686924,208.9110526,"Maritime"
88.55020026,192.7707273,"Maritime"
83.94167731,200.7337844,"Maritime"
92.76085227,202.0110594,"Maritime"
54.53456819,202.015438,"Maritime"
60.13170593,204.6495169,"Maritime"
51.62754289,205.557111,"Maritime"
63.86498944,192.3148453,"Maritime"
100,198.8746157,"Maritime"
61.23357099,191.6780829,"Maritime"
61.57536768,199.7898795,"Maritime"
80.89227919,196.9084076,"Maritime"
81.4707695,202.5377201,"Maritime"
52.96837818,193.4432113,"Maritime"
